Company,Sector,Stage,Amount,Location,About,Funding Year
Uclean,Clean Energy,Seed,584000.0,India,UClean is a tech enabled laundry service provider,2018
Coutloot,E-Commerce,Seed,1000000.0,Mumbai,The Fashion Recommerce platform,2018
Letstrack,Apps,Seed,1700000.0,New Delhi,Letstrack GPS tracking devices to track your kids bike car and other vehicles GPS trackers for Vehicle Tracking System in India,2018
Pooltoo,Transportation,Seed,1300000.0,New Delhi,Pooltoo offers a premium ride sharing platform,2018
Finzy,Financial Services,Seed,1300000.0,Bengaluru,finzy is the premier peer to peer lending solution in India,2018
Fitternity,Fitness,Seed,2000000.0,Mumbai,Indias largest online fitness platform that provides an integrated ecosystem to help users start  sustain their fitness journey,2018
Keito,Artificial Intelligence,Seed,1300000.0,Pune,Building an Intelligent Digital Assistant,2018
Tolet For Students,Hospitality,Seed,73000.0,Jodhpur,Reserve your Room Hostel or Paying Guest while relocating for higher education,2018
Chai Kings,Food And Beverage,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018
Dainik Jagran,Media And Entertainment,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group,2018
Playtoome,Broadcasting,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018
Ongo Framework,B2B,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider,2018
Notesgen,Edtech,Seed,182500.0,New Delhi,A Global PeertoPeer and PeertoGroup Learning Platform that helps students supplement their academic  competitive exam prep,2018
Arogya Medtech,Health Care,Seed,219000.0,Kolkata,Arogya MedTech is a Research  Development organization in BioMedical industry,2018
Propshop24,E-Commerce,Seed,500000.0,Mumbai,Propshop24 a onestop shop for a handpicked selection of funtastic products from around the world,2018
Myupchar,Health Care,Series A,5000000.0,New Delhi,To bring health issues to people in their language,2018
Missmalini Entertainment,Media,Seed,1518400.0,Mumbai,MissMalini Entertainment is a multiplatform new media network dedicated to Entertaining Connecting  Empowering young Indians,2018
Rooter,Sports,Seed,657000.0,India,Rooter is a mobilebased platform,2018
