Company,Location,Sector,About,Amount,Stage,Funding Year
91springboard,New Delhi,Coworking,It offers collaborative workspace with varied amenities,5940000.0,Series A,2020
Yulu,Bengaluru,Micro-mobiity,The electric and scooter rental startup,3964000.0,Series A,2020
Milkbasket,Gurugram,Logistics,Hyperlocal delivery service startup,5500000.0,Series A,2020
MergerDomo,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,197000.0,Series A,2020
GoMechanic,New Delhi,Auto-tech,Find automobile repair and maintenance service providers,3000000.0,Series B,2020
Milk Mantra,Odisha,Food,Produces Dairy Products,10000000.0,Series A,2020
Myglamm,Mumbai,Beauty,On-demand beauty services provider,4327000.0,Series A,2020
Drishti Technologies,Bengaluru,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",25000000.0,Series B,2020
Instasolv,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,2000000.0,Pre series A,2020
GoldenPi,Bengaluru,Fintech,An online aggregator of bonds and debentures available in the secondary market,459000.0,Series A,2020
Peppermint,Mumbai,Robotics,Industrial robotics startup,3000000.0,Seed Round,2020
Sarva,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,3000000.0,Series A,2020
Jai Kisan,Mumbai,Fintech,A platform that caters the need of customers in rural areas,3937000.0,Pre series A,2020
Agro2o,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,3000000.0,Series A,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,1313500.0,Series A,2020
GabbarDeals,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,3000000.0,Series A,2020
Crimson Healthcare,New Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,229800.0,Series A,2020
Biomoneta,Bengaluru,Life sciences,It develops germicidal technologies,3000000.0,Seed Round,2020
Edvizo,Bengaluru,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",150000.0,Seed Round,2020
Servify,Mumbai,Technology Services,Operates device management and support platform,11370000.0,Series C,2020
Drum Food,Mumbai,Food,It runs yoghurt brand Epigamia,5305000.0,Series A,2020
Innoviti,Bengaluru,Fintech,Digital payments solutions company,3000000.0,Series C,2020
Jiffy ai,Bengaluru,AI,Enterprise automation startup,18000000.0,Series A,2020
Postman,Bengaluru,Tech,API development platform startup,150000000.0,Series C,2020
F5,Bengaluru,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,3000000.0,Series A,2020
Waycool,Chennai,Agritech,Food development and distribution services,5500000.0,Series C,2020
Myelin Foundry,Bengaluru,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor",3000000.0,Series A,2020
Ameliorate Biotech,Bengaluru,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",264000.0,Angel Round,2020
Hapramp,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,1000000.0,Series A,2020
MyKaam,Bengaluru,HrTech,Online job searching and recruiting platform,3000000.0,Series A,2020
HealthPlix,Bengaluru,Healthtech,It provides clinical software for doctors,6000000.0,Series B,2020
YoloBus,Gurugram,Mobility/Transport,Intercity bus service startup,3300000.0,Series A,2020
iNurture Education,Bengaluru,Edtech,"It provides a conducive and healthy teaching, learning environment",4000000.0,Series A,2020
Pocket52,Bengaluru,Gaming,An online poker playing platform,1750000.0,Series A,2020
QuaQua,Hyderabad,Travel,Virtual travel guide platform,1000000.0,Series A,2020
Crofarm,New Delhi,Agritech,Supply chain that supports farmers and provides businesses with freshest produce,1000000.0,Series A,2020
Timios,Bengaluru,Foodtech,Provides healthy snacks for kids,3000000.0,Pre series A,2020
Wooden Street,Jaipur,Ecommerce,It enables to order custom furniture online,3000000.0,Series A,2020
BankBazaar,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,5967000.0,Series D1,2020
Rentmojo,Bengaluru,Rental,"Rental platform for furniture, appliances & electronics",2980000.0,Series A,2020
Credgencies,Gurugram,AI & Debt,Tech-enabled platform for resolution of non-performing assets,3000000.0,Seed Round,2020
Knorish,New Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,323000.0,Pre series A,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,1326000.0,Series A,2020
Vahak,Bengaluru,Transport,It enables logistic companies to conncet with transporters,3000000.0,Seed Round,2020
Nutrova,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",3000000.0,Pre series A,2020
Cube Wealth,Mumbai,SaaS,A digital wealth management services,500000.0,Mid series,2020
IVF Access,Bengaluru,Healthtech,It provdes IVF treatments,5000000.0,Series A,2020
Hoi Foods,New Delhi,Foodtech,Quality food solution,2000000.0,Pre series A,2020
Ola Financial Services,Bengaluru,Fintech,It operates Ola Money,27000000.0,Series A,2020
Awifs,New Delhi,Co-working,Provides office space solutions,5200000.0,Series A,2020
Dunzo,Bengaluru,Logistics,India-based hyperlocal delivery startup,55000000.0,Series A,2020
Swiflearn,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,3000000.0,Seed Round,2020
Remedo,New Delhi,Healthtech,The platform connects doctors with patients,3000000.0,Pre series A,2020
Blowhorn,Bengaluru,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,3000000.0,Series A,2020
Toch,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",1000000.0,Pre series A,2020
Gram Cover,Noida,Insurtech,It provides insurance products in rural areas,3000000.0,Pre series A,2020
Coin DCX,Mumbai,Cryptocurrency,Hybrid crypto exchange platform,2500000.0,Series A,2020
HomeCapital,Mumbai,Fintech,Home Down Payment Assistance Program,3000000.0,Series A,2020
Euler Motors,New Delhi,Automotive tech,Startup focusses on electric vehicles,2530000.0,Series A,2020
Riskcovry,Mumbai,Insurtech,Offers various insurance products,3000000.0,Pre series A,2020
NWNT (No Worry No Tension Healthcare),New Delhi,Healthtech,Mental healthtech startup,3000000.0,Pre series A,2020
Voicezen,Gurugram,AI,Conversational AI startup,3000000.0,Series A,2020
